coh,gEIN,gEEN,gIE,acc,dt1,dt2,dt,peak1,peak2,noise_E,noise_I,seed
12.8,0.13,0.165,1.3,2,1737.5,,1737.5,31.51149254981287,5.14910594300234,2.4,2.4,A01
12.8,0.13,0.165,1.3,2,1984.8,,1984.8,29.30909289629032,5.013812322400336,2.4,2.4,A02
12.8,0.13,0.165,1.3,2,1668.2,,1668.2,31.16986453327374,6.462756720485379,2.4,2.4,A03
12.8,0.13,0.165,1.3,2,1611.8000000000002,,1611.8000000000002,33.57181832300313,4.93364216130949,2.4,2.4,A04
12.8,0.13,0.165,1.3,2,2318.4,,2318.4,30.644271650293256,8.126084386589788,2.4,2.4,A05
12.8,0.13,0.165,1.3,2,1732.8000000000002,,1732.8000000000002,30.63181211631339,5.864984428723622,2.4,2.4,A06
12.8,0.13,0.165,1.3,2,1410.6,,1410.6,31.22128412842805,4.750475823600624,2.4,2.4,A07
12.8,0.13,0.165,1.3,1,,1555.0000000000002,1555.0000000000002,5.972265647211655,25.686027293343365,2.4,2.4,A08
12.8,0.13,0.165,1.3,2,1529.3000000000002,,1529.3000000000002,34.01636915787502,4.15529665335857,2.4,2.4,A09
12.8,0.13,0.165,1.3,2,1373.6,,1373.6,32.44772574517564,4.422792054555098,2.4,2.4,A10
12.8,0.13,0.15675,1.3,0,,,,3.998075746728636,2.9065357195359165,2.4,2.4,A01
12.8,0.13,0.15675,1.3,0,,,,3.322452796064664,3.893073275163708,2.4,2.4,A02
12.8,0.13,0.15675,1.3,0,,,,5.391964629796331,3.1174761735219088,2.4,2.4,A03
12.8,0.13,0.15675,1.3,0,,,,4.783030664670909,3.1283791279045343,2.4,2.4,A04
12.8,0.13,0.15675,1.3,0,,,,4.353587432502537,2.994595267786615,2.4,2.4,A05
12.8,0.13,0.15675,1.3,0,,,,4.2258066451107945,3.011650341114289,2.4,2.4,A06
12.8,0.13,0.15675,1.3,0,,,,3.933898567921707,2.733516485947663,2.4,2.4,A07
12.8,0.13,0.15675,1.3,0,,,,3.927706848395511,3.0344606497220306,2.4,2.4,A08
12.8,0.13,0.15675,1.3,0,,,,4.592321871254709,3.795732775051896,2.4,2.4,A09
